index negative positive
2015-11-09 0.1621544 0.050934
2015-11-10 0.149898 0.1339835
2015-11-11 0.141837 1e-06
2015-11-12 0.27269335 1e-06
2015-11-13 0.388503 1e-06
2015-11-14 0.220349 1e-06
2015-11-15 0.0422121 0.1391855
2015-11-16 1e-06 1e-06
2015-11-17 0.0521215 1e-06
2015-11-18 0.018746425 1e-06
2015-11-19 1e-06 0.16776825
2015-11-20 1e-06 0.3065975
2015-11-21 1e-06 1e-06
2015-11-22 1e-06 1e-06
2015-11-23 0.0387582 1e-06
2015-11-24 1e-06 1e-06
2015-11-25 0.381943 1e-06
2015-11-26 0.0578323333333 0.177857666667
2015-11-27 0.0664873333333 0.188774666667
2015-11-28 1e-06 0.103318333333
2015-11-29 0.0602309166667 1e-06
2015-11-30 0.174588 0.0601805714286
2015-12-01 0.0413741272727 0.0450495454545
2015-12-02 0.108950111111 0.00264548888889
2015-12-03 0.0404195 1e-06
2015-12-04 0.168827285714 1e-06
2015-12-05 0.181353333333 1e-06
2015-12-06 1e-06 0.0073003
2015-12-07 0.051396 0.0649824
2015-12-08 0.160867625 0.0284485
2015-12-09 0.206295277778 0.0750265333333
2015-12-10 0.1480501 0.02652957
2015-12-11 0.090020625 0.019298375
2015-12-12 0.0330074444444 0.121249
2015-12-13 0.015466125 0.02386775
2015-12-14 0.110605 0.0565524
2015-12-15 1e-06 0.095995
2015-12-16 0.111755 0.136632775
2015-12-17 0.22953025 0.085626225
2015-12-18 0.104371333333 1e-06
2015-12-19 1e-06 1e-06
2015-12-20 1e-06 0.1218025
2015-12-21 1e-06 1e-06
2015-12-22 0.363132 1e-06
2015-12-23 1e-06 0.341586
2015-12-24 1e-06 1e-06
2015-12-25 0.251702666667 1e-06
2015-12-26 1e-06 1e-06
2015-12-27 1e-06 1e-06
2015-12-28 0.169967466667 0.151373333333
2015-12-29 1e-06 1e-06
2015-12-30 0.0508705 0.0203181
2015-12-31 0.371147 1e-06
2016-01-01 1e-06 1e-06
2016-01-02 1e-06 1e-06
2016-01-03 0.229249666667 1e-06
2016-01-04 0.116433 1e-06
2016-01-05 0.165738333333 1e-06
2016-01-06 1e-06 1e-06
2016-01-07 1e-06 1e-06
2016-01-08 1e-06 1e-06
2016-01-09 1e-06 0.223861
2016-01-10 0.472095 1e-06
2016-01-11 1e-06 0.3538345
2016-01-12 0.1228965 1e-06
2016-01-13 0.3373635 1e-06
2016-01-14 0.130696 1e-06
2016-01-15 0.197333666667 0.213431333333
2016-01-16 0.0728394 1e-06
2016-01-17 1e-06 1e-06
2016-01-18 0.063849 1e-06
2016-01-19 0.0868976666667 0.0946858333333
2016-01-20 1e-06 1e-06
2016-01-21 0.1406915 1e-06
2016-01-22 0.01400355 1e-06
2016-01-23 0.152031 1e-06
2016-01-24 0.114595666667 0.148582666667
2016-01-25 1e-06 1e-06
2016-01-26 0.192743666667 0.127076333333
2016-01-27 1e-06 1e-06
2016-01-28 0.018956 1e-06
2016-01-29 1e-06 0.128400666667
2016-01-30 1e-06 1e-06
2016-01-31 0.12067465 1e-06
2016-02-01 0.0835833333333 0.0811363333333
2016-02-02 0.317959 1e-06
2016-02-03 1e-06 1e-06
2016-02-04 0.1511345 1e-06
2016-02-05 0.150323 1e-06
2016-02-06 0.1957325 1e-06
2016-02-07 1e-06 1e-06
2016-02-08 1e-06 1e-06
2016-02-09 1e-06 0.1249395
